model,date,release_time,kind,objective_yuan,residual,milp,mip_gap,latest_source_date,scenario_count
Q2,2025-06-05,00:00,selected,66875.43455677926,4.3655745685100555e-11,False,0.0,2025-06-02,8
Q2,2025-06-06,00:00,selected,41122.95321047878,7.275957614183426e-12,False,0.0,2025-06-02,8
Q2,2025-06-07,00:00,selected,42755.62758922919,2.1827872842550278e-11,False,0.0,2025-06-06,8
Q2,2025-06-08,00:00,selected,69078.8680712195,4.547473508864641e-13,False,0.0,2025-06-06,8
Q2,2025-06-09,00:00,selected,68712.6736496294,4.3655745685100555e-11,False,0.0,2025-06-08,8
Q2,2025-06-10,00:00,selected,68929.73001595339,2.9103830456733704e-11,False,0.0,2025-06-08,8
Q2,2025-06-11,00:00,selected,69755.96579640332,5.820766091346741e-11,False,0.0,2025-06-09,8
Q2,2025-06-12,00:00,selected,70750.65095908445,5.093170329928398e-11,False,0.0,2025-06-08,8
Q2,2025-06-13,00:00,selected,48213.958993012195,5.093170329928398e-11,False,0.0,2025-06-09,8
Q2,2025-06-14,00:00,selected,49285.682437597105,2.1827872842550278e-11,False,0.0,2025-06-13,8
Q2,2025-06-15,00:00,selected,71044.87164034347,2.9103830456733704e-11,False,0.0,2025-06-13,8
Q2,2025-06-16,00:00,selected,72646.39682206494,6.548361852765083e-11,False,0.0,2025-06-13,8
Q2,2025-06-17,00:00,selected,73112.54991906145,2.9103830456733704e-11,False,0.0,2025-06-13,8
Q2,2025-06-18,00:00,selected,73754.39120605722,4.3655745685100555e-11,False,0.0,2025-06-13,8
Q2,2025-06-19,00:00,selected,73627.14095948571,5.820766091346741e-11,False,0.0,2025-06-13,8
Q2,2025-06-20,00:00,selected,53310.64871863349,7.275957614183426e-11,False,0.0,2025-06-13,8
Q2,2025-06-21,00:00,selected,52390.042571305334,7.275957614183426e-12,False,0.0,2025-06-13,8
Q2,2025-06-22,00:00,selected,72375.35525872854,2.9103830456733704e-11,False,0.0,2025-06-21,8
Q2,2025-06-23,00:00,selected,73144.45656941058,5.820766091346741e-11,False,0.0,2025-06-21,8
Q2,2025-06-24,00:00,selected,72121.98654079759,2.9103830456733704e-11,False,0.0,2025-06-21,8
Q2,2025-06-25,00:00,selected,72178.17172786253,5.638867150992155e-11,False,0.0,2025-06-21,8
Q2,2025-06-26,00:00,selected,72559.52523461309,4.3655745685100555e-11,False,0.0,2025-06-21,8
Q2,2025-06-27,00:00,selected,49389.534951885114,7.275957614183426e-12,False,0.0,2025-06-21,8
Q2,2025-06-28,00:00,selected,48356.96584074949,2.9103830456733704e-11,False,0.0,2025-06-21,8
Q2,2025-06-29,00:00,selected,73056.54300581569,2.9103830456733704e-11,False,0.0,2025-06-21,8
Q2,2025-06-30,00:00,selected,73752.77050452014,2.9103830456733704e-11,False,0.0,2025-06-21,8
Q2,2025-07-01,00:00,selected,74496.44014129449,2.9103830456733704e-11,False,0.0,2025-06-21,8
Q2,2025-07-02,00:00,selected,74824.52049305322,4.3655745685100555e-11,False,0.0,2025-07-01,8
Q2,2025-07-03,00:00,selected,73240.3379742613,2.546585164964199e-11,False,0.0,2025-07-02,8
Q2,2025-07-04,00:00,selected,47071.031858950606,2.1827872842550278e-11,False,0.0,2025-07-02,8
Q2,2025-07-05,00:00,selected,47929.98998367308,2.1827872842550278e-11,False,0.0,2025-07-04,8
Q2,2025-07-06,00:00,selected,75395.07037481357,2.9103830456733704e-11,False,0.0,2025-07-05,8
Q2,2025-07-07,00:00,selected,78426.91101154797,7.275957614183426e-11,False,0.0,2025-07-06,8
Q2,2025-07-08,00:00,selected,79373.31579168703,4.3655745685100555e-11,False,0.0,2025-07-06,8
Q2,2025-07-09,00:00,selected,78763.37807135485,4.3655745685100555e-11,False,0.0,2025-07-05,8
Q2,2025-07-10,00:00,selected,79445.57483567583,1.4551915228366852e-11,False,0.0,2025-07-05,8
Q2,2025-07-11,00:00,selected,53657.29411529465,2.1827872842550278e-11,False,0.0,2025-07-05,8
Q2,2025-07-12,00:00,selected,54180.28289832075,2.9103830456733704e-11,False,0.0,2025-07-05,8
Q2,2025-07-13,00:00,selected,79883.80084411285,5.093170329928398e-11,False,0.0,2025-07-05,8
Q2,2025-07-14,00:00,selected,77756.98989040813,2.9103830456733704e-11,False,0.0,2025-07-13,8
Q2,2025-07-15,00:00,selected,79036.07405039787,1.8758328224066645e-11,False,0.0,2025-07-13,8
Q2,2025-07-16,00:00,selected,77593.9150467254,3.637978807091713e-11,False,0.0,2025-07-13,8
Q2,2025-07-17,00:00,selected,77420.7483325059,5.093170329928398e-11,False,0.0,2025-07-13,8
Q2,2025-07-18,00:00,selected,55658.644937324665,1.4551915228366852e-11,False,0.0,2025-07-15,8
Q2,2025-07-19,00:00,selected,55112.77016733941,5.093170329928398e-11,False,0.0,2025-07-15,8
Q2,2025-07-20,00:00,selected,79163.25965934464,2.1827872842550278e-11,False,0.0,2025-07-15,8
Q2,2025-07-21,00:00,selected,80076.4501958222,7.275957614183426e-11,False,0.0,2025-07-20,8
Q2,2025-07-22,00:00,selected,81753.7464440725,7.275957614183426e-11,False,0.0,2025-07-20,8
Q2,2025-07-23,00:00,selected,80675.77953830182,1.8189894035458565e-11,False,0.0,2025-07-20,8
Q2,2025-07-24,00:00,selected,81264.49434539047,5.820766091346741e-11,False,0.0,2025-07-05,8
Q2,2025-07-25,00:00,selected,56358.18896744315,2.1941559680271894e-11,False,0.0,2025-07-15,8
Q2,2025-07-26,00:00,selected,54865.35860080789,2.1827872842550278e-11,False,0.0,2025-07-15,8
Q2,2025-07-27,00:00,selected,80847.88228793345,7.275957614183426e-11,False,0.0,2025-07-21,8
Q2,2025-07-28,00:00,selected,81020.19989802354,3.637978807091713e-11,False,0.0,2025-07-20,8
Q2,2025-07-29,00:00,selected,81813.54505836946,7.275957614183426e-11,False,0.0,2025-07-26,8
Q2,2025-07-30,00:00,selected,80736.51703957564,2.9103830456733704e-11,False,0.0,2025-07-26,8
Q2,2025-07-31,00:00,selected,81241.12415021514,1.4551915228366852e-11,False,0.0,2025-07-26,8
Q2,2025-08-01,00:00,selected,54525.16391910419,2.9103830456733704e-11,False,0.0,2025-07-31,8
Q2,2025-08-02,00:00,selected,53640.99544796653,4.3655745685100555e-11,False,0.0,2025-08-01,8
Q2,2025-08-03,00:00,selected,80515.02302238098,7.275957614183426e-11,False,0.0,2025-08-01,8
Q2,2025-08-04,00:00,selected,80543.6792592676,5.820766091346741e-11,False,0.0,2025-08-03,8
Q2,2025-08-05,00:00,selected,80833.30468019262,1.4551915228366852e-11,False,0.0,2025-08-03,8
Q2,2025-08-06,00:00,selected,79085.26959976085,1.8417267710901797e-11,False,0.0,2025-08-03,8
Q2,2025-08-07,00:00,selected,77965.74963727599,2.1600499167107046e-11,False,0.0,2025-08-03,8
Q2,2025-08-08,00:00,selected,50539.951930529314,2.9103830456733704e-11,False,0.0,2025-08-03,8
Q2,2025-08-09,00:00,selected,50152.90822237217,9.663381206337363e-12,False,0.0,2025-08-08,8
Q2,2025-08-10,00:00,selected,75983.93961741134,1.4551915228366852e-11,False,0.0,2025-08-08,8
Q2,2025-08-11,00:00,selected,76614.1922179086,2.1827872842550278e-11,False,0.0,2025-08-08,8
Q2,2025-08-12,00:00,selected,77673.37373467757,5.275069270282984e-11,False,0.0,2025-08-11,8
Q2,2025-08-13,00:00,selected,76477.58566118203,4.001776687800884e-11,False,0.0,2025-08-12,8
Q2,2025-08-14,00:00,selected,76605.29572302336,1.4551915228366852e-11,False,0.0,2025-08-12,8
Q2,2025-08-15,00:00,selected,50471.55628638513,1.4551915228366852e-11,False,0.0,2025-08-12,8
Q2,2025-08-16,00:00,selected,50538.474243955265,1.7280399333685637e-11,False,0.0,2025-08-12,8
Q2,2025-08-17,00:00,selected,75127.82706470141,2.9103830456733704e-11,False,0.0,2025-08-12,8
Q2,2025-08-18,00:00,selected,75497.85298906168,2.9103830456733704e-11,False,0.0,2025-08-12,8
Q2,2025-08-19,00:00,selected,76970.54140272971,2.1827872842550278e-11,False,0.0,2025-08-12,8
Q2,2025-08-20,00:00,selected,73150.96328486652,2.9103830456733704e-11,False,0.0,2025-08-12,8
Q2,2025-08-21,00:00,selected,73315.81462704246,2.000888343900442e-11,False,0.0,2025-08-12,8
Q2,2025-08-22,00:00,selected,48332.6250034441,1.4551915228366852e-11,False,0.0,2025-08-19,8
