model,date,lower_coverage,interval_coverage,average_band_width_kwh,calibration_days
Q4-2,2025-10-30,1.0,0.8125,312.5713759263877,28
Q4-2,2025-10-31,0.9861111111111112,0.9861111111111112,314.14682213531125,28
Q4-2,2025-11-01,0.9861111111111112,0.9861111111111112,305.9378355622472,28
Q4-2,2025-11-02,1.0,0.7847222222222222,298.56679716116037,28
Q4-2,2025-11-03,1.0,0.7916666666666666,302.69353914275365,28
Q4-2,2025-11-04,1.0,0.8611111111111112,310.21408818885294,28
Q4-2,2025-11-05,1.0,0.8472222222222222,310.81857211499937,28
Q4-2,2025-11-06,1.0,0.6944444444444444,313.670204256001,28
Q4-2,2025-11-07,0.9861111111111112,0.9861111111111112,321.9625775200279,28
Q4-2,2025-11-08,0.9930555555555556,0.9930555555555556,317.5789373365005,28
Q4-2,2025-11-09,1.0,0.8472222222222222,307.4304437572685,28
Q4-2,2025-11-10,1.0,0.7152777777777778,310.75340207883295,28
Q4-2,2025-11-11,1.0,0.9166666666666666,315.71203011997545,28
Q4-2,2025-11-12,1.0,0.8611111111111112,315.77918614545365,28
Q4-2,2025-11-13,1.0,0.8472222222222222,315.1369582940891,28
Q4-2,2025-11-14,0.9652777777777778,0.9652777777777778,312.49283109092613,28
Q4-2,2025-11-15,0.9722222222222222,0.9722222222222222,308.980986793363,28
Q4-2,2025-11-16,1.0,0.8541666666666666,306.4137943376116,28
Q4-2,2025-11-17,1.0,0.9166666666666666,303.27024953947466,28
Q4-2,2025-11-18,1.0,0.8680555555555556,302.7541417081545,28
Q4-2,2025-11-19,1.0,0.8888888888888888,303.8162451197843,28
Q4-2,2025-11-20,1.0,0.8819444444444444,301.5136631700068,28
Q4-2,2025-11-21,0.9722222222222222,0.9722222222222222,302.36863044981214,28
Q4-2,2025-11-22,0.9652777777777778,0.9652777777777778,299.16672452817875,28
Q4-2,2025-11-23,1.0,0.9097222222222222,294.49663240077734,28
Q4-2,2025-11-24,1.0,0.9166666666666666,295.2412356000694,28
Q4-2,2025-11-25,1.0,0.9166666666666666,295.4908492984421,28
Q4-2,2025-11-26,1.0,0.9513888888888888,295.1191647424628,28
Q4-2,2025-11-27,1.0,0.9444444444444444,286.07541746220926,28
Q4-2,2025-11-28,0.9305555555555556,0.9305555555555556,284.78655565433917,28
Q4-2,2025-11-29,0.9097222222222222,0.9097222222222222,269.326518257796,28
Q4-2,2025-11-30,1.0,0.8680555555555556,265.77279507660955,28
Q4-2,2025-12-01,1.0,0.5208333333333334,265.72650035870925,28
Q4-2,2025-12-02,1.0,0.4513888888888889,271.7069202382497,28
Q4-2,2025-12-03,1.0,0.7083333333333334,293.3600778608567,28
Q4-2,2025-12-04,1.0,0.7638888888888888,299.7050006883435,28
Q4-2,2025-12-05,0.9583333333333334,0.9583333333333334,300.18482985071955,28
Q4-2,2025-12-06,0.9652777777777778,0.9652777777777778,291.7930257853323,28
Q4-2,2025-12-07,1.0,0.8819444444444444,288.04749854887956,28
Q4-2,2025-12-08,1.0,0.9513888888888888,288.7535197447761,28
Q4-2,2025-12-09,1.0,0.9236111111111112,286.5153444443635,28
Q4-2,2025-12-10,1.0,0.9375,286.8706934422799,28
Q4-2,2025-12-11,1.0,0.9513888888888888,287.78099489382487,28
Q4-2,2025-12-12,0.8402777777777778,0.8402777777777778,286.91274464280286,28
Q4-2,2025-12-13,0.8541666666666666,0.8541666666666666,287.7612134089249,28
Q4-2,2025-12-14,1.0,0.9861111111111112,287.14115710560833,28
Q4-2,2025-12-15,1.0,0.9583333333333334,287.0619174045089,28
Q4-2,2025-12-16,1.0,0.9722222222222222,287.4909780522833,28
Q4-2,2025-12-17,1.0,0.9722222222222222,286.6067439886678,28
Q4-2,2025-12-18,1.0,0.9583333333333334,287.1095852358059,28
Q4-2,2025-12-19,0.75,0.75,287.00397962924893,28
Q4-2,2025-12-20,0.8541666666666666,0.8541666666666666,291.2778047220039,28
Q4-2,2025-12-21,1.0,0.9722222222222222,293.5468724055886,28
Q4-2,2025-12-22,1.0,0.9861111111111112,293.62350897925234,28
Q4-2,2025-12-23,1.0,0.9861111111111112,293.38224287622637,28
Q4-2,2025-12-24,1.0,0.9791666666666666,293.4508884539074,28
Q4-2,2025-12-25,0.9930555555555556,0.9722222222222222,293.36699184338704,28
Q4-2,2025-12-26,0.9027777777777778,0.9027777777777778,293.72691556708315,28
Q4-2,2025-12-27,0.8472222222222222,0.8472222222222222,296.99545097083035,28
Q4-2,2025-12-28,1.0,0.9930555555555556,299.6197673158422,28
Q4-2,2025-12-29,1.0,0.9722222222222222,299.0956622932494,28
Q4-2,2025-12-30,1.0,1.0,294.5465845341053,28
Q4-2,2025-12-31,1.0,0.9722222222222222,287.32220522105223,28
Q4-3,2025-02-01,0.9444444444444444,0.9444444444444444,264.2460019854222,12
Q4-3,2025-02-02,1.0,0.9930555555555556,265.89450217107986,13
Q4-3,2025-02-03,1.0,1.0,259.7509003760226,13
Q4-3,2025-02-04,1.0,1.0,259.7509003760226,14
Q4-3,2025-02-05,1.0,0.9791666666666666,257.52517957520575,14
Q4-3,2025-02-06,1.0,1.0,257.80025205461,15
Q4-3,2025-02-07,0.8611111111111112,0.8611111111111112,254.40936728104023,15
Q4-3,2025-02-08,0.9722222222222222,0.9722222222222222,258.5925449659928,16
Q4-3,2025-02-09,0.9930555555555556,0.9930555555555556,246.3614160229355,16
Q4-3,2025-02-10,1.0,0.9930555555555556,246.4718333940586,17
Q4-3,2025-02-11,0.9930555555555556,0.9930555555555556,245.34697474942817,17
Q4-3,2025-02-12,1.0,1.0,245.3778989834774,18
Q4-3,2025-02-13,1.0,1.0,243.9484477056859,18
Q4-3,2025-02-14,0.8541666666666666,0.8541666666666666,227.40737711834137,19
Q4-3,2025-02-15,0.8958333333333334,0.8958333333333334,227.0071822617767,19
Q4-3,2025-02-16,1.0,0.9930555555555556,229.52599782383518,20
Q4-3,2025-02-17,0.9166666666666666,0.8958333333333334,226.60445626632898,20
Q4-3,2025-02-18,1.0,0.9791666666666666,229.54718091948547,21
Q4-3,2025-02-19,0.9930555555555556,0.9652777777777778,228.2446425720125,21
Q4-3,2025-02-20,0.9930555555555556,0.9583333333333334,228.5442019300132,22
Q4-3,2025-02-21,0.8472222222222222,0.8472222222222222,227.3272050351865,22
Q4-3,2025-02-22,0.9166666666666666,0.9166666666666666,231.3827295561516,23
Q4-3,2025-02-23,1.0,0.9722222222222222,232.79820691240243,23
Q4-3,2025-02-24,0.9930555555555556,0.9791666666666666,233.38666129783775,24
Q4-3,2025-02-25,0.9930555555555556,0.9652777777777778,232.26133874864684,24
Q4-3,2025-02-26,1.0,0.9583333333333334,233.3178462041503,25
Q4-3,2025-02-27,1.0,0.9930555555555556,233.093388547771,25
